Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Profit growth 3Years,Sales growth 3Years
Bizotic Commer.,543926,,INE0OJ401014,Textiles & Apparels,Garments & Apparels,110.95,35.76,641.87,0.00,9.71,146.45,177.00,199.54,26.79,124.04,318.41,263.61,202603.00,3.21,1.72,58.82,88.27,56.71
BLS Internat.,540073,BLS,INE153T01027,Leisure Services,"Tour, Travel Related Services",231.00,13.49,9511.23,1.06,201.63,11.15,890.53,25.33,29.34,31.81,24.91,23.79,202606.00,17.14,4.62,50.09,50.20,25.52
Bondada Engineer,543971,,INE0Q8P01029,Telecom - Services,Telecom - Infrastructure,277.20,14.24,3095.55,0.10,53.93,38.24,691.65,23.99,39.43,80.96,90.09,91.69,202606.00,19.54,4.74,101.30,125.39,97.22
Borosil Renew.,502219,BORORENEW,INE666D01022,Industrial Products,Glass - Industrial,465.35,17.03,6849.18,0.00,87.71,156.91,405.69,22.10,26.62,33.98,463.85,127.47,202606.00,27.33,6.25,56.78,60.57,30.69
Captain Polyplas,536974,CPL,INE536P01021,Industrial Products,Plastic Products - Industrial,63.50,13.59,382.13,0.00,4.66,8.37,81.16,16.38,18.61,46.96,46.41,41.84,202606.00,4.69,0.77,56.82,66.39,22.93
Ceinsys Tech,538734,CEINSYS,INE016Q01014,IT - Software,Computers - Software & Consulting,678.55,10.66,1420.73,0.50,30.95,-2.18,157.79,0.76,27.46,32.16,61.26,62.34,202606.00,68.75,14.78,47.54,63.33,44.39
Cemindia Project,509496,CEMPRO,INE686A01026,Construction,Civil Construction,1222.00,34.93,20992.42,0.24,140.83,2.62,2720.92,5.61,32.76,8.91,46.85,19.43,202606.00,35.02,8.20,68.21,68.21,25.49
CFF Fluid,543920,,INE0NJ001013,Aerospace & Defense,Aerospace & Defense,976.00,52.19,2047.08,0.13,20.07,104.80,104.61,59.64,23.50,43.40,64.51,45.05,202603.00,18.69,9.57,38.03,56.92,43.48
Chalet Hotels,542399,CHALET,INE427F01016,Leisure Services,Hotels & Resorts,852.75,34.90,18674.72,0.23,86.13,-54.44,512.27,-42.73,17.01,6.05,87.78,11.67,202606.00,24.13,3.93,56.33,59.81,34.89
Choice Intl.,531358,CHOICEIN,INE102B01014,Finance,Holding Company,745.50,72.84,16607.96,0.00,60.61,22.83,309.79,32.04,17.96,26.47,32.48,33.72,202606.00,10.44,2.48,47.92,53.59,41.74
CIAN Agro,519477,,INE052V01019,Agricultural Food & other Products,Edible Oil,1267.00,11.02,3545.83,0.00,149.70,186.73,586.66,14.85,12.27,51.75,245.40,124.61,202606.00,115.11,53.49,722.02,722.02,97.51
Complete Sports and Management,544900,,INE2K6801014,Leisure Services,Amusement Parks/ Other Recreation,150.00,17.18,308.40,0.00,,,,,65.05,2.91,57.32,56.47,202603.00,11.96,,,143.71,54.37
Connplex Cinemas,,CONNPLEX,INE0EAS01014,Entertainment,"Film Production, Distribution & Exhibition",250.00,18.42,477.51,0.00,13.03,38.91,83.46,51.97,43.55,54.29,42.94,33.90,202603.00,13.65,6.82,-25.66,150.38,79.82
D.P. Abhushan,544161,DPABHUSHAN,INE266Y01019,Consumer Durables,"Gems, Jewellery And Watches",1344.00,12.79,3068.06,0.00,64.45,76.96,852.40,57.74,39.57,30.80,93.37,81.42,202606.00,105.07,28.23,65.79,67.20,27.29
Danish Power,,DANISH,INE0YU901016,Electrical Equipment,Heavy Electrical Equipment,982.00,27.64,1933.70,0.20,41.17,9.23,309.84,18.61,23.75,22.57,20.02,11.17,202603.00,35.55,20.91,,101.01,40.41
DEE Development,544198,DEEDEV,INE841L01016,Industrial Manufacturing,Industrial Products,612.55,56.21,4608.77,0.16,16.08,22.35,294.46,31.60,10.69,40.01,52.85,52.08,202606.00,11.60,2.33,0.67,88.15,24.24
Deep Industries,543288,DEEPINDS,INE0FHS01024,Oil,Oil Equipment & Services,732.70,11.34,4689.28,0.32,89.14,45.12,278.92,39.81,16.47,48.75,132.59,45.47,202606.00,32.26,13.34,62.00,62.00,37.67
