Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Pledged percentage
Indo Tech.Trans.,532717,INDOTECH,INE332H01014,Electrical Equipment,Heavy Electrical Equipment,3493.95,37.39,3710.56,0.28,25.70,34.06,227.89,39.02,40.35,21.99,28.73,39.32,202606.00,93.50,24.20,53.40,80.26
Indowind Energy,532894,INDOWIND,INE227G01018,Power,Power Generation,9.13,,146.99,0.00,2.10,-13.10,8.44,-26.93,2.22,-5.31,-108.07,-15.95,202606.00,-0.02,0.12,-39.34,25.26
Inducto Steel,532001,,INE146H01018,Industrial Products,Iron & Steel Products,62.19,12.07,24.99,0.00,1.29,616.00,79.38,73.13,5.94,20.18,167.87,595.73,202606.00,5.15,3.21,-2.35,43.28
IndusInd Bank,532187,INDUSINDBK,INE095A01012,Banks,Private Sector Bank,960.90,56.70,74868.06,0.15,1037.05,71.68,11309.94,-7.78,5.68,-6.38,31.08,-8.05,202606.00,16.97,13.31,-50.81,42.78
Jai Balaji Inds.,532976,JAIBALAJI,INE091G01026,Ferrous Metals,Iron & Steel,62.66,39.12,5716.43,0.00,85.23,20.81,1682.59,23.98,9.57,2.00,-65.13,-45.46,202606.00,1.59,0.93,-7.91,31.09
Jain Irrigation,500219,JISLJALEQS,INE175A01038,Industrial Products,Plastic Products - Industrial,29.27,,2131.15,0.00,-17.80,-207.18,1508.37,-2.41,5.30,8.81,-177.36,3.51,202606.00,-0.75,-0.21,,40.77
Jayaswal Neco,522285,JAYNECOIND,INE854B01010,Industrial Products,Iron & Steel Products,88.07,15.00,8551.59,0.00,193.92,108.47,2106.56,27.72,20.69,22.18,140.77,29.29,202606.00,5.81,2.00,19.97,99.87
Jet Freight,543420,JETFREIGHT,INE982V01025,Transport Services,Logistics Solution Provider,19.95,12.24,92.57,0.00,2.53,42.13,178.97,49.93,13.41,21.68,69.13,45.14,202606.00,1.63,0.55,383.93,26.16
JP Power Ven.,532627,JPPOWER,INE351F01018,Power,Power Generation,15.67,12.78,10739.41,0.00,468.84,138.18,1775.70,12.16,6.97,8.80,12.35,-8.49,202606.00,0.94,0.68,96.79,72.99
Jyoti,504076,,INE511D01012,Electrical Equipment,Heavy Electrical Equipment,60.25,8.34,139.14,0.00,5.23,-20.93,74.90,8.38,12.81,4.27,-14.90,37.00,202606.00,7.47,2.26,17.01,97.41
Kanoria Chem.,506525,KANORICHEM,INE138C01024,Industrial Manufacturing,Industrial Products,178.50,12.81,780.05,0.00,26.36,8534.71,460.37,128.61,5.95,25.33,382.84,94.77,202606.00,35.47,6.03,114.12,29.57
