Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Profit growth 3Years,Sales growth 3Years
Jaro Institute,544534,JARO,INE00YJ01010,Other Consumer Services,E-Learning,575.00,24.10,1275.29,0.36,21.33,17.26,72.79,-1.79,24.33,8.57,2.42,-10.90,202603.00,23.86,9.62,46.05,66.23,30.88
Jaykay Enter.,500306,JAYKAY,INE903A01025,Aerospace & Defense,Aerospace & Defense,167.30,32.56,2179.73,0.00,179.82,586.84,61.16,458.03,8.18,220.00,114226.54,9097.87,202603.00,17.85,15.12,206.23,229.17,76.47
JD Cables,544524,,INE14VP01014,Industrial Products,Cables - Electricals,202.10,19.30,455.77,0.00,11.93,15.71,121.26,12.82,65.58,148.47,383.62,370.11,202509.00,2347.29,5.29,211.43,269.24,66.18
Jeena Sikho,544476,JSLL,INE0J5801029,Pharmaceuticals & Biotechnology,Pharmaceuticals,491.95,29.95,6114.97,0.20,66.73,405.15,221.66,91.60,50.24,44.64,30.03,34.76,202512.00,16.43,5.37,82.28,102.17,47.41
Jyoti CNC Auto.,544081,JYOTICNC,INE980O01024,Industrial Manufacturing,Industrial Products,586.15,39.68,13330.39,0.00,90.57,-16.89,599.16,4.08,21.32,15.15,4.08,7.31,202603.00,14.77,3.98,60.90,156.89,31.08
Kaynes Tech,543664,KAYNES,INE918Z01012,Industrial Manufacturing,Industrial Products,3136.00,57.46,21022.07,0.00,91.22,-21.47,1242.64,26.22,13.24,33.24,27.79,37.91,202603.00,54.28,13.61,49.42,56.68,47.68
Khazanchi Jewell,543953,,INE0OWC01011,Consumer Durables,"Gems, Jewellery And Watches",620.05,17.15,1534.45,0.16,25.59,104.07,507.85,-18.35,34.79,15.65,99.07,93.69,202603.00,36.13,10.34,,130.10,62.15
KP Green Engg.,544150,,INE0QVH01025,Electrical Equipment,Heavy Electrical Equipment,386.00,14.21,1930.00,0.10,77.44,66.47,713.50,65.06,36.69,79.33,83.48,124.45,202603.00,27.15,15.49,-37.02,123.42,122.06
Krishna Defence,,KRISHNADEF,INE0J5601015,Aerospace & Defense,Aerospace & Defense,1085.80,42.52,1621.49,0.09,12.30,64.44,64.85,42.18,30.75,25.97,73.98,67.95,202603.00,25.53,8.24,76.66,93.03,56.93
KSH Internationa,544664,KSHINTL,INE987S01020,Industrial Products,Cables - Electricals,836.90,50.92,5670.44,0.00,34.53,87.16,1018.34,100.52,21.36,61.13,63.80,56.03,202603.00,16.25,5.10,-67.24,61.23,43.59
L. T. Elevator,544518,,INE0TJ801010,Industrial Manufacturing,Industrial Products,229.95,25.92,440.66,0.00,6.45,497.22,46.89,139.72,40.90,96.99,90.38,75.35,202603.00,8.88,3.37,54.96,149.19,47.94
Leela Palaces Hotels,544408,THELEELA,INE0AQ201015,Leisure Services,Hotels & Resorts,409.10,33.45,13662.20,0.00,171.72,46.17,484.42,14.06,8.72,17.43,750.15,24.40,202603.00,12.07,5.14,,105.63,21.10
Lehar Footwears,532829,,INE976H01018,Consumer Durables,Footwear,249.00,21.15,440.19,0.19,4.14,-17.86,91.26,-16.62,18.05,55.51,91.72,48.87,202603.00,11.79,2.34,54.06,60.40,28.63
Lloyds Enterpris,512463,LLOYDSENT,INE080I01025,Metals & Minerals Trading,Trading - Metals,70.56,37.14,10605.49,0.14,68.52,318.23,719.64,47.07,10.57,18.03,475.90,-1.81,202603.00,1.90,0.26,79.49,78.20,66.53
Lloyds Metals,512455,LLOYDSME,INE281B01032,Minerals & Mining,Industrial Minerals,1828.45,32.29,102902.45,0.07,1065.59,426.30,4912.94,311.71,35.86,103.54,120.23,131.55,202603.00,56.76,18.93,46.92,52.35,59.79
Lodha Developers,543287,LODHA,INE670K01029,Realty,"Residential, Commercial Projects",914.75,26.65,91383.71,0.45,1008.10,9.35,4713.50,11.58,16.58,21.02,29.36,23.37,202603.00,34.32,10.09,55.58,57.46,20.76
Mafatlal Inds.,500264,MAFATIND,INE270B01035,Textiles & Apparels,Other Textile Products,133.05,10.35,960.34,1.50,17.94,-22.59,883.70,96.47,12.91,37.88,-7.93,34.07,202603.00,12.47,2.49,64.29,65.41,41.32
Mahindra Life.,532313,MAHLIFE,INE813A01018,Realty,"Residential, Commercial Projects",337.65,26.35,7203.52,1.04,90.12,5.91,669.62,7146.97,7.64,216.52,562.87,28.38,202603.00,13.97,4.22,106.26,106.47,24.77
Mangalam World.,544764,MWL,INE0JYY01011,Metals & Minerals Trading,Trading - Metals,382.45,22.68,1135.90,0.05,15.37,131.83,264.95,-18.24,17.63,13.97,81.30,65.27,202603.00,16.87,5.17,44.17,53.72,23.33
Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,1448.75,37.11,8650.27,0.04,59.52,40.81,382.30,64.21,35.45,76.13,108.27,92.47,202603.00,39.06,9.97,98.58,98.70,57.01
Marine Electric.,,MARINE,INE01JE01028,Industrial Manufacturing,Industrial Products,246.70,58.23,3452.41,0.11,18.57,45.55,277.48,10.66,18.22,14.32,56.84,37.48,202603.00,4.17,1.32,47.34,52.46,25.58
Marsons,517467,MARSONS,INE415B01044,Electrical Equipment,Other Electrical Equipment,140.95,52.42,2425.74,0.03,22.58,149.89,92.26,65.34,25.39,45.54,85.72,67.99,202603.00,2.69,1.31,136.61,159.55,277.36
Mercury EV-Tech,531357,,INE763M01028,Automobiles,Passenger Cars & Utility Vehicles,36.86,128.96,700.25,0.00,0.89,-79.21,25.29,-28.96,5.16,74.44,-17.73,-29.14,202512.00,0.29,0.05,205.71,219.20,323.28
Modison,506261,MODISONLTD,INE737D01021,Electrical Equipment,Other Electrical Equipment,293.00,12.10,950.76,1.19,36.00,442.75,287.32,120.90,30.86,44.89,208.95,160.02,202603.00,22.35,11.09,82.83,82.83,28.51
Monarch Networth,511551,MONARCH,INE903D01011,Capital Markets,Stockbroking & Allied,332.35,14.56,2634.48,0.30,45.56,84.16,99.87,63.80,27.68,13.62,21.17,18.38,202603.00,22.86,5.75,53.28,61.56,32.08
MOS Utility,,MOS,INE0N7S01028,Financial Technology (Fintech),Financial Technology (Fintech),14.65,20.96,377.16,0.00,4.91,11.50,153.35,-12.46,19.50,3.05,61.32,33.45,202603.00,0.70,0.18,62.16,78.97,81.56
Msafe Equipments,544695,,INE2B5L01011,Non - Ferrous Metals,Aluminium,152.10,13.84,310.28,0.00,11.92,91.95,54.49,38.86,34.11,45.26,71.01,55.34,202603.00,10.99,5.84,-32.67,83.98,56.54
Neetu Yoshi,544434,,INE0UZO01024,Industrial Products,Castings & Forgings,124.80,24.19,484.38,0.00,11.54,45.52,44.15,25.39,46.01,49.14,30.65,35.92,202509.00,5.94,2.97,4.77,516.60,148.68
Nephrocare Health Services,544647,NEPHROPLUS,INE428V01029,Healthcare Services,Healthcare Service Provider,639.60,83.50,6417.73,0.00,30.37,22.11,265.62,21.18,15.48,32.16,15.51,34.34,202603.00,7.66,3.03,28.67,104.22,31.70
Netweb Technol.,543945,NETWEB,INE0NT901020,IT - Services,IT Enabled Services,4755.00,131.51,27075.33,0.05,70.59,65.67,773.70,86.59,37.50,90.04,80.50,78.01,202603.00,36.15,12.40,57.69,63.67,69.93
Network People,544396,NPST,INE0FFK01017,IT - Services,IT Enabled Services,1167.00,59.64,2434.75,0.16,12.24,134.87,61.98,135.22,19.67,12.52,-9.67,-15.82,202603.00,19.58,5.88,79.67,84.04,68.39
Nila Infrastruct,530377,NILAINFRA,INE937C01029,Realty,"Residential, Commercial Projects",8.01,13.53,315.52,0.00,5.85,9.14,81.04,-28.55,22.54,30.72,14.39,46.18,202603.00,0.59,0.15,305.54,305.54,41.01
Nila Spaces,542231,NILASPACES,INE00S901012,Realty,"Residential, Commercial Projects",12.45,17.19,490.39,0.00,9.40,94.92,49.80,25.25,31.32,36.24,105.47,73.17,202603.00,0.72,0.23,105.92,105.92,467.94
Nisus Finance,544296,,INE0DQN01013,Finance,Holding Company,202.00,6.61,482.32,0.00,46.15,210.17,420.62,1222.29,32.00,754.94,126.36,224.21,202603.00,29.46,16.25,2.98,189.69,267.53
Niva Bupa Health,544286,NIVABUPA,INE995S01015,Insurance,General Insurance,85.00,120.07,15703.40,0.00,345.13,67.47,2138.56,28.00,3.45,24.57,-37.37,59.97,202603.00,0.71,1.87,,127.48,32.88
Nurture Well Industries,531889,,INE882B01037,Finance,Holding Company,23.50,8.12,547.20,0.00,-1.18,-105.39,199.90,-16.81,22.92,34.03,18.94,30.61,202603.00,2.88,-0.04,172.62,266.79,484.50
OBSC Perfection,,OBSCP,INE0YHV01011,Auto Components,Auto Components & Equipments,484.00,46.29,1250.94,0.00,8.66,70.14,71.52,77.38,19.52,54.27,61.45,56.24,202603.00,10.45,3.35,39.61,80.80,32.15
