Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years
Manaksia Steels,539044,MANAKSTEEL,INE824Q01011,Ferrous Metals,Iron & Steel,112.00,13.54,733.99,0.00,22.38,252.44,302.22,50.37,13.41,83.58,244.56,386.41,202606.00,8.27,3.42,48.86,17.97
Mangalam Global,544273,MGEL,INE0APB01032,Agricultural Food & other Products,Other Agricultural Products,15.51,13.82,511.15,0.06,8.43,25.04,952.07,10.89,16.96,41.38,46.52,45.50,202606.00,1.43,0.26,34.11,33.46
Mangalam World.,544764,MWL,INE0JYY01029,Metals & Minerals Trading,Trading - Metals,41.48,23.69,1231.98,0.07,12.02,17.69,316.22,14.68,17.70,12.75,63.43,76.11,202606.00,1.75,0.40,44.17,23.30
Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,2006.55,47.92,12665.80,0.04,81.59,61.31,403.96,39.51,35.41,58.81,77.23,63.59,202606.00,44.25,13.66,98.45,57.01
Marsons,517467,MARSONS,INE415B01044,Electrical Equipment,Heavy Electrical Equipment,121.90,47.47,2097.91,0.04,5.93,-26.15,49.26,4.74,25.39,33.29,43.23,52.04,202606.00,2.57,0.34,136.61,277.36
Maruti Suzuki,532500,MARUTI,INE585B01010,Automobiles,Passenger Cars & Utility Vehicles,12297.50,26.99,386636.62,1.12,3446.90,-9.11,52469.80,35.91,18.87,26.61,-1.37,8.13,202606.00,455.91,109.63,19.59,15.68
Master Trust,511768,MASTERTR,INE677D01037,Capital Markets,Stockbroking & Allied,88.82,8.20,1092.63,0.00,34.65,27.81,149.79,13.77,23.85,6.98,8.03,5.67,202606.00,10.86,2.82,19.17,19.30
MMP Industries,,MMP,INE511Y01018,Non - Ferrous Metals,Aluminium,457.45,26.05,1162.05,0.41,13.70,15.32,232.60,26.90,12.49,21.35,13.12,23.42,202606.00,19.73,5.39,21.92,15.25
Monarch Networth,511551,MONARCH,INE903D01011,Capital Markets,Stockbroking & Allied,366.00,16.03,2902.69,0.28,45.18,-0.15,90.89,-7.24,27.68,7.49,17.25,14.89,202606.00,22.85,5.70,53.28,32.08
Msafe Equipments,544695,,INE2B5L01011,Non - Ferrous Metals,Aluminium,300.00,22.92,612.00,0.00,7.27,44.25,31.79,39.92,37.21,44.24,86.50,66.82,202603.00,10.99,3.56,-30.69,56.17
Neetu Yoshi,544434,,INE0UZO01024,Industrial Products,Castings & Forgings,205.20,31.84,796.44,0.00,13.47,58.96,54.20,53.19,31.78,39.33,52.47,31.63,202603.00,6.45,3.47,51.91,82.31
Nephrocare Health Services,544647,NEPHROPLUS,INE428V01029,Healthcare Services,Healthcare Service Provider,738.00,87.19,7421.29,0.00,31.97,34.89,281.75,23.69,15.34,32.16,11.62,35.11,202606.00,4.19,3.19,28.61,31.70
Netweb Technol.,543945,NETWEB,INE0NT901020,IT - Services,IT Enabled Services,4631.00,105.64,27530.15,0.06,85.32,179.92,819.69,172.13,37.48,107.70,102.07,96.42,202606.00,45.87,14.98,57.58,69.93
Newgen Software,540900,NEWGEN,INE619B01017,IT - Software,Computers - Software & Consulting,502.05,20.86,7154.67,1.15,62.82,26.35,356.68,11.23,25.01,7.88,8.01,11.56,202606.00,22.06,4.41,21.77,17.36
Nippon Life Ind.,540767,NAM-INDIA,INE298J01013,Capital Markets,Asset Management Company,1167.05,45.59,74665.75,1.81,503.70,27.16,766.87,26.42,43.80,23.01,21.24,26.51,202606.00,25.66,7.88,27.34,24.59
Novus Loyalty,544735,,INE1TFS01019,Media,Web based media and service,213.00,35.69,331.23,0.00,3.90,,56.01,,33.39,21.79,148.13,116.70,202603.00,5.97,2.51,-77.71,28.83
Olectra Greentec,532439,OLECTRA,INE260D01016,Automobiles,Passenger Cars & Utility Vehicles,1189.70,55.05,9765.13,0.05,26.66,-0.31,575.51,65.75,21.05,38.43,25.90,33.59,202606.00,21.62,3.16,39.36,28.46
Omax Autos,520021,OMAXAUTO,INE090B01011,Auto Components,Auto Components & Equipments,172.30,9.09,368.57,2.90,10.60,21.98,121.99,22.43,15.41,31.75,187.57,61.02,202606.00,18.93,4.96,49.42,17.22
Oriana Power Ltd,,ORIANA,INE0OUT01019,Electrical Equipment,Other Electrical Equipment,1281.05,10.27,2602.97,0.00,130.41,19.02,1032.49,64.51,39.61,83.72,59.15,69.67,202603.00,124.19,64.42,99.09,137.89
Paras Defence,543367,PARAS,INE045601023,Aerospace & Defense,Aerospace & Defense,1343.70,117.11,10828.40,0.07,20.74,42.70,127.91,37.26,17.19,36.61,45.66,37.36,202606.00,11.72,2.63,31.32,28.92
Parmeshwar Metal,544330,,INE0QQJ01021,Industrial Products,"Aluminium, Copper & Zinc Products",318.00,15.06,486.73,0.39,23.46,250.15,1127.70,50.08,43.41,42.72,194.44,182.03,202603.00,21.23,15.33,-43.75,26.62
Pearl Global Ind,532808,PGIL,INE940H01022,Textiles & Apparels,Garments & Apparels,1140.55,33.66,10536.53,0.64,99.24,50.93,1528.26,24.46,19.93,13.75,24.25,23.35,202606.00,33.64,10.88,22.73,16.74
Piccadily Agro,530305,PICCADIL,INE546C01010,Beverages,Breweries & Distilleries,587.10,41.15,5787.21,0.17,21.44,16.33,251.18,17.42,18.01,28.56,30.47,23.75,202606.00,14.26,2.18,80.61,18.69
Pitti Engg.,513519,PITTIENG,INE450D01021,Industrial Manufacturing,Industrial Products,1110.00,33.58,4179.56,0.21,29.50,28.93,529.09,15.89,14.84,12.19,-1.10,13.23,202606.00,33.04,7.83,19.61,20.25
POCL Enterprises,539195,POEL,INE035S01028,Chemicals & Petrochemicals,Commodity Chemicals,141.10,12.79,434.11,0.83,5.71,-50.95,466.04,25.13,26.50,4.56,-9.41,-10.17,202606.00,10.95,1.86,40.76,17.87
Polycab India,542652,POLYCAB,INE455K01017,Industrial Products,Cables - Electricals,8191.50,43.11,123439.04,0.57,796.66,32.46,8209.73,39.01,33.21,32.06,29.24,32.46,202606.00,190.23,52.07,27.28,26.98
Poojaa Precision Engg.,544844,,INE288301026,Auto Components,Auto Components & Equipments,699.00,45.16,1394.13,0.00,,,,,33.41,32.08,28.68,29.72,202603.00,21.11,,-49.48,21.54
Prec. Wires (I),523539,PRECWIRE,INE372C01037,Industrial Products,"Aluminium, Copper & Zinc Products",440.70,46.10,8056.48,0.27,46.45,71.47,1779.24,59.49,32.94,46.02,84.03,67.15,202606.00,9.58,2.54,36.98,21.27
Premier Energies,544238,PREMIERENE,INE0BS701011,Electrical Equipment,Other Electrical Equipment,951.00,25.96,43170.75,0.10,471.92,50.45,2462.59,35.25,33.32,26.70,59.07,29.05,202606.00,36.73,10.20,293.96,76.27
Privi Speci.,530117,PRIVISCL,INE959A01019,Chemicals & Petrochemicals,Specialty Chemicals,3444.30,38.46,13454.35,0.28,82.84,35.98,666.22,19.22,22.30,21.63,60.80,36.55,202606.00,89.47,21.54,143.66,16.83
Prudent Corp.,543527,PRUDENT,INE00F201020,Capital Markets,Financial Products Distributor,3277.45,55.41,13570.79,0.10,74.76,44.38,347.63,18.34,37.48,19.45,20.57,22.68,202606.00,59.18,18.06,23.91,29.51
Q-Line Biotech,,QLINE,INE1G2W01011,Healthcare Equipment & Supplies,Medical Equipment & Supplies,676.55,27.94,1578.28,0.00,34.41,147.29,197.94,-8.59,22.46,8.99,25.23,31.52,202603.00,34.24,21.14,-44.57,23.25
Quality Power El,544367,QPOWER,INE0SII01026,Electrical Equipment,Heavy Electrical Equipment,1353.75,78.67,10483.97,0.07,46.72,49.59,232.67,31.66,31.53,121.98,89.95,156.19,202606.00,17.21,4.66,-95.14,55.23
R R Kabel,543981,RRKABEL,INE777K01022,Industrial Products,Cables - Electricals,2395.35,44.28,27092.73,0.39,205.20,117.32,3168.20,53.90,28.10,37.66,81.49,73.72,202606.00,53.72,18.14,31.59,20.19
Radico Khaitan,532497,RADICO,INE944F01028,Beverages,Breweries & Distilleries,4398.40,82.95,58930.83,0.21,229.60,69.15,1683.69,11.80,24.15,19.30,75.94,50.78,202606.00,52.54,17.14,40.96,24.43
Raghav Product.,539837,RPEL,INE912T01018,Industrial Products,Electrodes & Refractories,1623.10,118.89,7453.59,0.05,19.57,67.55,86.91,48.72,30.30,33.90,55.29,48.23,202606.00,13.65,4.26,28.41,23.22
Railtel Corpn.,543265,RAILTEL,INE0DD101019,Telecom - Services,Other Telecom Services,254.25,22.06,8159.91,1.24,65.78,11.62,893.27,20.09,22.85,20.85,16.17,19.46,202606.00,10.78,2.05,24.24,29.77
Rajoo Engineers,522257,RAJOOENG,INE535F01024,Industrial Manufacturing,Industrial Products,53.55,19.75,956.80,0.28,17.35,3.40,123.07,44.67,24.70,32.79,1.76,15.55,202606.00,2.71,0.87,60.15,29.16
Rashi Peripheral,544119,RPTECH,INE0J1F01024,IT - Hardware,Computers Hardware & Equipments,797.00,16.60,5292.53,0.24,104.57,67.60,5101.85,61.85,17.00,40.44,50.28,60.68,202606.00,48.41,15.59,,18.74
Rategain Travel,543417,RATEGAIN,INE0CLI01024,IT - Software,Computers - Software & Consulting,881.15,39.96,10444.54,0.00,94.91,102.24,785.01,187.63,13.88,114.36,24.18,98.02,202606.00,20.50,8.01,43.86,47.77
Rubicon Research,544578,RUBICON,INE506V01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,1830.05,105.20,30293.24,0.08,84.78,95.80,534.34,51.59,28.35,46.65,89.49,59.01,202606.00,17.68,5.13,34.77,64.57
S J Logistics (I,,SJLOGISTIC,INE0F3301020,Transport Services,Logistics Solution Provider,312.45,6.54,494.41,0.00,43.43,49.50,370.89,33.62,32.38,30.11,44.43,58.72,202603.00,49.57,28.40,24.13,69.48
Sagility,544282,SAGILITY,INE0W2G01015,IT - Services,IT Enabled Services,45.98,21.03,21524.77,0.32,216.81,52.97,1963.48,27.59,13.41,29.43,54.46,30.91,202606.00,2.12,0.46,38.30,19.47
Sakar Healthcare,,SAKAR,INE732S01012,Pharmaceuticals & Biotechnology,Pharmaceuticals,1151.35,71.02,2561.73,0.00,10.28,120.13,72.97,38.36,12.42,43.76,82.27,49.84,202606.00,16.22,4.62,27.14,23.52
