Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Debt to equity,Interest Coverage Ratio
Agarwal Fortune,530765,,INE510B01018,Industrial Products,Glass - Industrial,18.00,103.11,6.19,0.00,0.03,0.00,0.39,-81.78,11.18,-28.60,-71.43,-15.62,202606.00,0.17,0.09,0.71,2.78,1.26
Aksh Optifibre,532351,AKSHOPTFBR,INE523B01011,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,8.36,,136.00,0.00,4.71,169.95,49.87,85.39,-6.63,29.39,74.04,322.78,202606.00,-0.13,0.29,,8.53,0.34
Alchemist Corp.,531409,,INE057D01016,Chemicals & Petrochemicals,Commodity Chemicals,36.97,,18.15,0.00,-0.01,100.00,4.20,,-6.64,,96.88,127.07,202606.00,-0.02,0.00,15.87,6.22,0.11
Allcargo Termi,543954,ATL,INE0NN701020,Transport Infrastructure,Port & Port services,24.34,15.36,648.56,0.00,6.37,-30.08,214.41,14.50,11.20,12.25,31.18,31.07,202606.00,1.42,0.22,,2.18,1.92
Altius Telecom,543225,,INE0BWS23018,Telecom - Services,Telecom - Infrastructure,172.00,41.43,52415.28,2.34,375.30,65.55,6025.10,-0.08,8.60,9.79,53.56,11.61,202606.00,4.12,1.23,9.53,4.59,1.36
Amin Tannery,541771,,INE572Z01017,Consumer Durables,Leather And Leather Products,2.00,89.96,21.59,0.00,0.09,28.57,11.99,10.10,5.28,-15.94,-20.00,-29.90,202606.00,0.02,0.01,-15.14,2.19,1.19
AMS Polymers,540066,,INE345U01019,Chemicals & Petrochemicals,Specialty Chemicals,49.00,33.71,16.18,0.00,0.28,-53.33,36.34,36.16,10.33,10.72,-55.56,-12.61,202606.00,1.45,0.85,13.26,2.41,1.92
Andhra Cements,532141,ACL,INE666E01020,Cement & Cement Products,Cement & Cement Products,42.67,,393.29,0.00,-35.93,-21.30,142.17,42.84,-6.01,56.40,51.63,176.38,202606.00,-7.97,-3.90,,13.96,-0.60
Ansal Housing,507828,,INE880B01015,Realty,"Residential, Commercial Projects",4.83,,33.64,0.00,-3.12,-201.77,46.70,-44.27,-5.05,-27.59,-3623.60,-129.62,202606.00,-5.77,-0.45,,2.94,-32.54
Anzen IYEP Trust,543655,ANZEN,INE0MIZ23019,Power,Power - Transmission,128.00,98.68,3273.21,12.39,54.03,354.35,288.12,160.84,3.28,106.47,822.66,87.79,202606.00,1.15,1.70,24.70,2.48,1.17
