Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years
Viyash Scientific,512529,VIYASH,INE807F01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,264.95,57.97,11575.00,0.00,66.38,455.37,919.96,129.02,19.05,120.47,815.72,303.29,202603.00,4.06,1.19,56.42,34.02
Waaree Energies,544277,WAAREEENER,INE377N01017,Electrical Equipment,Other Electrical Equipment,3111.00,22.83,89488.35,0.06,1126.26,70.64,8480.25,111.80,38.78,83.72,111.07,117.10,202603.00,129.02,36.89,76.01,57.82
Waaree Renewab.,534618,WAAREERTL,INE299N01021,Electrical Equipment,Other Electrical Equipment,984.20,21.47,10269.70,0.10,155.71,60.69,1102.40,131.31,83.61,108.51,108.05,106.20,202603.00,45.88,14.93,105.31,111.73
Wealth First Por,544536,WEALTH,INE658T01017,Finance,Other Financial Services,999.35,27.54,1064.82,2.00,10.49,345.22,16.51,606.44,34.63,14.29,9.55,5.40,202603.00,36.28,9.87,40.87,32.45
Welspun Corp,532144,WELCORP,INE191B01025,Industrial Products,Iron & Steel Products,1385.65,22.65,36552.18,0.36,371.46,19.76,4312.56,9.87,22.91,19.98,33.05,32.73,202603.00,61.15,14.04,116.92,19.78
Wise Travel,,WTICAB,INE623Y01011,Transport Services,Road Transport,93.40,7.54,222.42,0.00,17.17,31.67,446.96,46.57,16.31,50.66,28.41,74.06,202603.00,12.38,7.21,-27.48,49.05
Yash Highvoltage,544310,,INE00GK01023,Electrical Equipment,Other Electrical Equipment,713.05,52.32,2035.83,0.14,23.72,68.89,135.57,46.53,28.66,56.63,82.16,77.12,202603.00,13.08,8.31,-28.40,37.55
Yatharth Hospit.,543950,YATHARTH,INE0JO301016,Healthcare Services,Hospital,811.90,44.62,7823.00,0.00,44.70,22.73,341.56,47.36,12.37,40.35,35.66,29.70,202603.00,18.20,4.93,21.94,36.21
Zen Technologies,533339,ZENTEC,INE251B01027,Aerospace & Defense,Aerospace & Defense,1653.00,77.41,14924.98,0.12,47.24,-68.80,178.08,-45.20,16.18,-29.37,-31.19,-35.96,202603.00,21.43,3.49,59.89,46.47
Zydus Lifesci.,532321,ZYDUSLIFE,INE010B01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,1104.35,20.49,111123.44,0.09,1341.00,21.92,7587.00,16.22,21.15,16.81,16.84,20.07,202603.00,50.09,12.65,32.22,16.35
